                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0982,                0.71822,                  1.084,                0.95964,                0.88385,                0.95892,                 0.6893,                0.94348,                 0.6052,                  1.038,              0.0019347,              0.0019347,              0.0019347
                     36,                 1.0659,                0.71975,                 1.0797,                0.93573,                0.88785,                0.94779,                0.68234,                0.97234,                0.62607,                 1.0247,              0.0019327,              0.0019327,              0.0019327
                     37,                 1.1076,                0.76704,                 1.0841,                0.91987,                0.88889,                0.94915,                0.67393,                0.96929,                0.62798,                 1.0384,              0.0019307,              0.0019307,              0.0019307
                     38,                 1.1547,                0.75476,                 1.1325,                0.92794,                 0.8745,                0.95312,                0.66568,                 1.0154,                0.64895,                 1.0514,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.0699,                0.68784,                  1.093,                0.94518,                 0.8972,                0.95484,                0.68513,                0.99014,                0.62663,                 1.0468,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.0722,                0.68523,                 1.0815,                 0.9242,                 0.8972,                0.94684,                0.68292,                 0.9889,                0.60972,                 1.0356,              0.0019248,              0.0019248,              0.0019248
                     41,                  1.096,                0.71129,                 1.0845,                0.95318,                0.90788,                0.96183,                0.69823,                0.92313,                0.58241,                 1.0329,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.0705,                0.70734,                 1.1121,                0.93024,                0.88919,                0.95491,                0.69195,                0.95533,                0.59517,                 1.0327,              0.0019208,              0.0019208,              0.0019208
                     43,                 1.0831,                0.68987,                 1.0953,                0.95235,                0.88065,                0.95156,                0.68991,                0.96409,                0.60833,                 1.0396,              0.0019188,              0.0019188,              0.0019188
                     44,                 1.0402,                0.66719,                 1.0471,                0.94185,                0.89987,                0.95337,                0.70793,                0.92222,                0.56913,                 1.0199,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.0772,                0.68729,                 1.1044,                0.94916,                0.87984,                0.95107,                0.70099,                0.91957,                0.59281,                 1.0249,              0.0019149,              0.0019149,              0.0019149
